id,question1,question2,is_duplicate
571,How can I start civil service exam preparation from scratch?,When should I start preparing for the civil service exam?,1
750,How can I see who blocked me at Facebook?,Will I see if someone blocked me of Facebook?,1
1142,Why do people belive in god?,Why do people believe in God? What is the real faith in God? How do you believe God?,1
4300,How do you fix a Google Play Store account that isn't working?,What can cause the Google Play store to not open? How are such probelms fixed?,1
2405,Can WhatsApp be hacked?,Is WhatsApp hacking possible?,1
2190,Who's your favourite character in the Walking Dead?,Who is your favourite character in the TV series The Walking Dead? Why?,1
4276,"In Game of Thrones, is Syrio Forel one of the Faceless Men?",Is Syrio Forel a faceless man following Arya around being different people?,1
2650,What is the best way to learn web programming (I'd prefer Ruby)? What do I start with? What are the next steps?,How can i learn web programming in one month?,1
3544,When was the last year that America was great according to the Trump campaign?,When was the last time America was great according to Trump's “Make America Great Again” slogan?,1
2372,"What evidence is there for Jesus Christ's death, burial, and resurrection?",Is there extra biblical evidence for the resurrected Jesus Christ?,1
4165,Why is no one answering my questions in Quora?,How come my questions always get ignored on Quora?,1
400,How could start with open source development?,How should I start contributing to open source projects?,1
4990,Which is the best health insurance plan for family?,What are the best health insurance plans for family?,1
4533,What is the best logo ever designed?,What are the best logos ever created?,1
4513,What is meaning of share market?,What is the share market?,1
2628,How do I turn someone down nicely?,How do you turn someone down?,1
1752,What are some indie bands worth listening to?,I am interested in listening to indie music. Which bands can convince me to give it a try?,1
432,How I start prepare for UGC net English literature latest syllabus?,How do I prepare for Net JRF in English literature?,1
3963,"If Japan outlawed inflation, would that get it out of debt?","If Japan printed a quadrillion yen bill and outlawed inflation, would that get it out of debt?",1
197,What are some must watch TV shows before you die?,Are there any must watch TV shows?,1
86,"What were the major effects of the cambodia earthquake, and how do these effects compare to the Kamchatca earthquakes in 1952?","What were the major effects of the cambodia earthquake, and how do these effects compare to the Valparaiso earthquake in 1822?",1
2132,Why can't anything travel faster than the speed of light?,How do we know that nothing can travel faster than the speed of light?,1
1239,What is the nicest thing that a complete stranger has ever done for you?,What is the nicest thing a stranger has done for you?,1
534,What could be Narendra Modi's next move after demonetization?,What is next step after demonetization?,1
317,What do countries do to prevent war?,How should countries prevent war?,1
3618,Can u get pregnant the day after your period ends?,Can I get pregnant 3 days after period if I bled for not even a full 3 days?,1
7,How can I be a good geologist?,What should I do to be a great geologist?,1
2450,How many times will you have sex in a day?,How many times should one have sex a day?,1
4910,What is awesome?,What is awesome? Why?,1
4809,How come ISIS has never attacked Israel?,Why are there no ISIS attacks on Israel?,1
930,Can we control our actions in a dream?,Can we control our dreams? Can we dream what we wanna dream about?,1
2305,"How do I ask questions with pictures on ""Quora""?",How can ask questions using photos?,1
1264,What countries are socialist?,Are there any socialist countries left?,1
1594,Why are people addicted to pornography?,Why do people become addicted to pornography?,1
1255,What are the places to visit for a honeymoon in Kerala?,"What all places can one visit on a two day trip in Kerala, India?",1
3066,"Now that Donald Trump is President, will international students stop coming to US universities?","Should I (a prospective Indian student) stop applying to universities in the USA, now that Donald Trump has become the president?",1
4282,Which is the best free animating software?,What is a good free animation software?,1
2776,How much black money is recovered till now?,How much black money will the government get back after demonetization?,1
3562,"Does the female body undergo changes after losing virginity? If not, why would people think it does?",What might be the reasons why people sometimes believe a woman's body changes after she loses her virginity?,1
3461,What phone should I buy under Rs 15000?,Which is best mobile under 15000?,1
5,Astrology: I am a Capricorn Sun Cap moon and cap rising...what does that say about me?,"I'm a triple Capricorn (Sun, Moon and ascendant in Capricorn) What does this say about me?",1
4622,What business can I start right now?,"What is the best business, with the biggest potential to start right now?",1
200,What is the easiest way to become a billionaire($)?,What is the best way to become a billionaire?,1
3024,"I wanna study hard but I can't, how can I motivate myself for that?",I can't motivate myself to study or work hard at anything. How can I change this?,1
835,Which is the best PMP Certification course provider in Bangalore?,Which is the best pmp certification center in Bangalore?,1
2108,Is it possible for a mobile phone to explode?,Do mobile phones explode?,1
661,How does it feel to be a closeted gay in India?,How does it feel to be homosexual in India?,1
2979,Can skipping increase my height?,Can jumping and skipping increase height (I'm 16 year old male)?,1
3770,What are some facts you know about animals?,What are some interesting things about animals?,1
4430,How do I improve my appearance and personality?,"How can I improve my personality, and my appearance?",1
1569,How can I overcome suicidal thoughts?,How do I overcome suicide thoughts?,1
2975,Does nutritional yeast contain MSG? Why?,Does nutritional yeast have MSG?,1
573,What is the difference in pleasure between masturbation and sex?,What is the difference between sex and masturbation when it comes to pleasure?,1
72,How I can speak English fluently?,How can I learn to speak English fluently?,1
4984,"Why are some of my questions being marked as ""Needs Improvement"" no matter what I do to improve it?","Why was my question marked as ""needs improvement?""",1
1746,What made Tata group chairman Cyrus Mistry to quit?,What was the reason behind the removal of Cyrus P. Mistry from the position of Chairman of The Tata group?,1
2908,How can I make good money drawing cartoons?,My skill is drawing. How Can I make money out of it?,1
3217,Why did Mahatma Gandhi not get Bharat Ratna or the Nobel Peace Prize?,Why Mahatma Gandhi didn't get Bharat Ratna?,1
1086,What makes India different from the rest of the world?,What makes India different from all other countries in the world?,1
618,What is the reason Pakistan supports terrorism?,Has Pakistan become a safe haven for global terrorism?,1
4782,How do I reset my Gmail account password?,How can you recover your Gmail password?,1
3728,"How do you get cash without earning it, legally?",How do you get money without earning it?,1
4574,What is the quickest possible way to lose weight?,What is the easiest way to lose weight faster?,1
696,How light bend with gravity?,"If gravity bends light, can light bend gravity?",1
4933,Is sex necessary in a relationship?,How important is sex in a relationship?,1
4226,Did Trump win the election?,Can Donald Trump win this Tuesday?,1
4762,How can I lose 20 pounds in 3 weeks without feeling inconvenienced or jeopardizing my health?,What are some ways to lose 20 pounds in 3 weeks?,1
827,Can you get a list of individual telephone numbers?,How do you get cell phone numbers?,1
3235,What is crossing-over in meiosis?,What is the process of crossing over in meiosis?,1
4614,What are the subtle ways to show my guy friend that I like him?,How can I show my guy best friend that I like him?,1
3502,What are the time slots available in CAT 2016?,What are the time slots of CAT 2016 exam?,1
1543,How did Donald Trump become president?,How did Donald Trump win despite projections that he would fail?,1
2245,What is the best App for downloading films for free?,What are the best apps for downloading films for free?,1
1429,Which are the best movies of 2016?,Which was the best film of 2016?,1
1791,How do I stop feeling insecure?,How do I stop feeling insecure about myself?,1
1403,How can I prepare for GATE without coaching?,How did you prepare for the GATE without any coaching?,1
4989,How do I stop heroin?,How do I stop using heroin?,1
3865,What is difference between immortality and eternity?,What is the difference between eternal and immortal?,1
1363,What has been one of the best decisions of your life?,What has been the best decision you've made in your life?,1
2910,Who are good attorneys in New York that work with a lot of startups?,Which attorneys located in New York City are recommended for general tech startup legal work?,1
380,Which one is better among KMC Manipal and KMC Mangalore?,What is the brief comparison of KMC in Manipal and Mangalore?,1
4805,What TV series do you watch and why?,Which TV series should are worth watching?,1
4304,Which coaching institutes are the best for CAT?,Which is the best coaching institute for CAT?,1
341,Earthquake resistant homes?,How do earthquake resistant buildings work?,1
4770,Will digital marketing a good course to learn?,Digital Marketing colleges in India?,1
4840,Will an MS from NUS in electrical engineering provide good job opportunities in India?,Is the MS from NUS have any value in India? (from job point of view),1
939,How do I get a boyfriend for age 13?,How can I get a boyfriend at age 13?,1
3628,How can I meet Modi?,How can I meet PM modi?,1
3280,How can I learn programming from scratch?,How can i start learning programming and coding from scratch?,1
3650,What is the significance of pi (3.14159265359)?,What is the significance of the numbers in Pi?,1
4789,Which are the best places to learn Spanish abroad?,What is the best place to learn the Spanish language?,1
4742,How far is the Sun from Earth?,How far is earth from the sun?,1
1998,What are some of the best tourist places to visit in Chhattisgarh?,Where are the foremost tourist places in Chhattisgarh?,1
3882,What is the best thing about having an elder brother?,What is it like to have an elder brother?,1
3166,How do I impress the boss's boss?,How do I impress my boss's boss?,1
165,Which is the best earphone with deep bass under 1000?,Which is the Best earphones under Rs 1000?,1
3394,How can I overcome the procrastination?,How do you avoid procrastination?,1
1515,"In the world, we are second largest country in terms of population, but we win only very few medals in the Olympics. Why?","If India is the second largest in population, why do they not have Olympic medals like China or the US?",1
3440,How did you meet your life partner?,How did you meet your lover?,1
779,"Which one to learn, C++ or C#?",Which should I learn first: C++ or C#?,1
1506,How can I improve digestion?,How can we improve our digestion?,1
1910,Is creating satelite blogs and posting SEO-friendly posts considered black-hat SEO technique?,Is creating satellite blogs and posting SEO-friendly posts considered black-hat SEO technique?,1
2596,Why are Indians so obsessed about what people from other countries think about India?,Why are Indians so obsessed in knowing thoughts of other countries about them?,1
1454,How much time do people spend on Quora?,How much time does Quora take up in your day?,1
2303,How do I convert NRE FD to RFC?,How do I convert NRE FD for RFC?,1
3844,Do introverts enjoy their life?,How do introverts enjoy life?,1
479,Did Mahabharata really happen?,Did Mahabharata really happen or only an allegory according to M.K.Gandhi?,1
1768,How do I deal with common embarrassment?,How do I deal with my embarrassment?,1
1861,How can I run a 5k without any training?,How do I run a 5k without much training?,1
3860,How do I delete my account from this site?,How do I delete Quora Account with all answers and questions also removed?,1
491,What is the difference between a comet and an asteroid?,What is the difference between asteroids and comets?,1
3085,How can I know if my boyfriend is using dating apps?,How can I find out whether my partner is using dating sites?,1
3635,How do I make money starting a blog?,How do I make money from blog?,1
2185,"What is the excise refund on a brand new tourist permit vehicle in Mumbai, India? (Volkswagen Vento 2015 highline MT)?","What is the excise refund on a brand new tourist permit vehicle in Mumbai, India? (Car: Volkswagen Vento 2015 highline MT)",1
3588,Why can't India ban the import of Chinese products in India?,Should India ban all Chinese goods or anything which is made in China?,1
3300,Is there any possibility to increase height after 21?,How girls can increase their height after 18 years?,1
4935,What are some alternatives ways to lose 30 pounds in 1 month?,Which exercises can boost you enough to lose 30 pounds in 1 month?,1
4562,How were the Pentagon Papers reveal? How did it impact the U.S.?,What did the Pentagon Papers reveal?,1
752,Who are some of great coders from Tamil Nadu?,Are there any competitive coders from Tamil Nadu?,1
3886,Should I apply concealer or foundation first?,What should I apply first concealer or foundations,1
2282,How long will the reservation system (quota) continue in India?,Will the caste-based reservation system come to an end in India?,1
3281,Why did you have children?,Why did you choose to have children?,1
1691,How does Minerva Schools differ from other for-profit universities in the US?,Why will Minerva succeed when many other for-profit universities have been bad investments?,1
702,What are some of the most surreal questions asked on Quora?,What is the most surreal question on Quora?,1
1387,Why did Arnab Goswami quitted from Times Now?,Why did Arnab Goswami resign as the Editor-in-Chief of Times Now?,1
2034,Has there been scientific evidence that ghosts exist?,Has there been any serious scientific study into unexplained phenomenon such as ghosts etc.?,1
4733,Why do I feel so angry?,Why am I so angry?,1
190,Which business is good start up in Hyderabad?,Which business is better to start in Hyderabad?,1
3630,Can I get into M.tech program through UPSEE?,Can I get admission in M.tech program through UPSEE?,1
4579,Why is Quora useful and successful?,How did Quora become so successful?,1
156,"If I do not monetize YouTube videos & upload copyright content, then are there chances that Google may block my account?",How do you upload movies on YouTube and monetize them? Is there any issue of copyright,1
1132,Why do we need to study?,Why we need study?,1
402,Do cricket players really drink tea on a tea break?,Do cricketers actually drink tea during tea break?,1
1192,Which languages have been profoundly affected by Low German?,Which languages have been most profoundly affected by Low German?,1
2801,Where can I get an exceptionally affordable price in Sydney for property transaction?,Where can I get quality assistance in Sydney for any property transaction?,1
650,Is there any way to get rid of gynecomastia?,How can I get rid of man boobs?,1
1356,How does the HP OfficeJet 4620 Airprint compare to the HP LaserJet Enterprise M506x?,How does the HP OfficeJet 4620 Airprint compare to the HP LaserJet Enterprise M606x?,1
3958,How do I handle the fear of change?,How do I handle fear of change?,1
1319,How do I avoid looking like a tourist in Paris?,How do I dress in Paris to avoid looking like a tourist?,1
4254,What does it mean when your crush asks for a picture?,What does it mean when your crush asks you for your photo?,1
4765,Why allopathy approve masterbation?,Does allopathy approve masterbation?,1
476,Can climate change be reversed?,Can the global climate change be reversed or halted?,1
3393,How can I soundproof a room for music?,How do you soundproof a room for music?,1
2417,What are some good psychological hacks?,What is the coolest psychological trick?,1
1023,Movie Review: What is your review of Aamir Khan's Dangal (2016 movie)?,What is your honest review of Dangal (2016 movie)?,1
3379,How do I stop my Shepherd-Husky mix puppy from humping my furniture?,How do you stop your Boxer/Pitbull mix from humping your furniture?,1
269,What are the rights of a prisoner?,"If I am in prison, what rights would I have?",1
4423,What are your favorite documentaries?,What are your favourite documentaries? Why?,1
973,Where can I find a hacker for good cause?,Where can I find a good hacker?,1
2188,What makes Earth to rotate on its axis?,What Is the cause of earth rotation around Its axis?,1
4750,How do I become a scriptwriter?,How become a scriptwriter? How explai my story?,1
1899,What are the ways to learn about stock market?,What is the best way to learn about investing in the stock market and what stocks to buy?,1
1141,What is the best way for a native Chinese speaker to learn English?,How can I learn English well as a Chinese student？?,1
4567,Is honey vegan?,Is honey from bees considered vegan?,1
443,What are the minimum requirements to enter MIT?,How can I join MIT?,1
1002,"Which is less healthy for your body, beer or Pepsi?",Which is less healthy for your body light beer or Pepsi?,1
3494,What incident restored your faith in Humanity?,What experience has most restored your faith in humanity?,1
781,What is the best evidence for a historical Jesus?,What is the evidence for and against the existence of the historical Jesus?,1
3799,What is the best certification course to learn digital marketing?,Which are the best online courses on digital marketing in India?,1
3054,What's your secret to success?,What is the secret to success?,1
2264,What is the best food in Pune and where do I get it?,What is the best food in Pune?,1
1740,What are the best earphones under/around Rs.2000 ?,Which are the best earphones under 2000INR or 35USD?,1
2006,How does a facebook account get hacked?,How can I hack somebody's Facebook account if that person is not added as a friend?,1
4792,Is homosexuality against the laws of nature?,Is homosexuality natural?,1
2887,How can I get a list of my Gmail accounts?,How can I find all my old Gmail accounts?,1
929,Should you post picture on social media?,Should you post pictures on social media?,1
2173,Where can I sell my unimplemented business idea?,Where  can i sell a business idea?,1
2117,Why can't I follow a question on Quora anonymously?,Why can't you anonymously follow a question on Quora?,1
2011,What does Java do and do I need it?,Do I need Java on my computer?,1
2621,How should a teacher maintain discipline in the classroom?,How can a teacher maintain discipline?,1
1677,Why does the caste system persist in India?,Why caste system still survive in India?,1
564,How can I earn money from YouTube?,How do I make money through YouTube?,1
4568,What's the best programmnig language for begginers?,Which coding language is best to start with?,1
4080,Why would watching snooker be different to playing it?,Why is watching snooker different to playing snooker?,1
2542,What is the QuickBooks payroll tech support number in Washington?,Which is the best QuickBooks proadvisor tech support number?,1
4000,How do I build a self confidence?,How do you raise self confidence?,1
3219,What are some good tips while learning piano?,Can some one give me tips on learning piano?,1
1858,what has your life taught you so far?,What has life taught you?,1
373,What should someone do to overcome anxiety?,What should I do to avoid depression and anxiety?,1
2563,What is UPI - Unified Payment Interface?,Can someone enlighten me on national payment corporation of India's initiative on Unified Payment Interface?,1
4164,Which are the best movies of 2016?,What is the best film of 2016?,1
1705,Is Quora display trending now topics based on user's country?,Are trending topics in Quora location specific?,1
1985,Have you ever had sex with your teacher?,Have you ever had sex with a teacher?,1
3164,What will be the effect in Stock market after the Indian Government's decision to demonitize 500 and 1000 rupee notes?,What will be the effect on share market after the banning of 500 and 1000 notes?,1
3416,Can any one suggest the best foods for gaining weight?,Which is the best food to gain weight?,1
3022,What does Donald Trump's success tell us about the American public?,What does Donald Trump's nomination reflect about the people of the United States/Americans?,1
2403,How does Cantonese Chinese differ from Mandarin?,What's the difference between Cantonese and Mandarin?,1
2545,Is there proof of extra terrestrial life?,Do we have proof for extra terrestial life?,1
2328,What are the best digital marketing courses for mid-senior level marketing managers?,What is the best digital marketing course available online and offline in India and Why?,1
4435,How should I convince my parents for love marriage?,How do I convince my parents for a love marriage when they have completely misunderstood my boyfriend?,1
199,What are the effects of demonitization of 500 and 1000 rupees notes on real estate sector?,What will be the impact of scrapping of ₹500 and ₹1000 rupee notes on the real estate market?,1
1676,What is your favorite saying and why?,What are some of your favorite sayings?,1
630,How do I develop my presence of mind?,How can I increase my presence of mind?,1
4371,Why Cyrus Mistry has been removed from Tata Group?,What went wrong with Cyrus Mistry as Tata Group chairman and why was he ousted?,1
877,How can changing 500 and 1000 rupee notes end the black money in India?,Do you think scrapping of 500 and 1000 rupee denominations is going to eradicate corruption?,1
2043,What business should I start with 50 lacs?,I have 50 lac and want to start a new business? Which business can I start in Mumbai on large scale?,1
1712,Which are the oldest bridges in the world?,What's the oldest bridge in the world? How was it designed and built?,1
4601,What is the best resources for learning SAP Hana?,What are the best websites to learn SAP HANA?,1
812,What is a GDP?,What is the significance of GDP?,1
3000,What song can you listen to and never get tired of hearing?,What songs can you listen to over and over and not get tired of?,1
2104,How can I stop myself from being extrovert?,How should I stop being an introvert?,1
3946,What is the worst decision one has ever made in life?,What was the worst decision you have ever made in your life and still regretted it for that?,1
4079,Relation between phase & line voltage?,What is the relation between phase and line voltage?,1
2742,How can I promote Udemy course?,What are the best ways to promote Udemy courses?,1
3700,How do I know if I was abused?,How can I know if I have been emotionally abused?,1
4753,What are some example of inventions from the Bronze Age that are still used today?,What are some of the inventions from the bronze age? How are they still used?,1
2204,What are the best restaurants in Silicon Valley overall?,What are some good restaurants in Silicon Valley?,1
3640,What are the different ways to rank keyword through Facebook?,What are the different ways to rank a keyword through Facebook?,1
393,Why should one hate Shahrukh Khan?,Why do people hate Shahrukh Khan and why do people feel that he is not an Indian?,1
3003,What type of diets can you follow to lose 5 pounds in 2 weeks?,How can I lose 5lbs in 2 weeks?,1
3138,How can I deal with depression and low self-esteem?,What should I do to get rid of my anxiety and my low self-esteem?,1
4142,What are some types of genetic drift? What are some examples?,What is an example of genetic drift?,1
3248,How do I download free music?,Is there a platform where I can download free music?,1
905,I have only 2 months for my CA CPT exams how do I prepare?,I want to crack CA CPT in 2 months. How should I study?,1
4875,What are the hacks in daily life?,What are the best hacks that we can use it in our daily life?,1
1406,What should be done to get rid of dandruff?,How do I get rid of severe dandruff?,1
368,What do you think about the Bermuda Triangle?,What are your theories about Bermuda Triangle?,1
4441,Why did Malala Yousafzai win the Nobel Prize?,Was giving Nobel Prize to Malala a complete joke?,1
2224,What is the best workflow process from web design to web development using Adobe muse?,What is the best workflow process from design to development using Adobe Muse?,1
4093,How do I lose weight without doing exercise?,How can I lose weight in a month without doing exercise?,1
4058,Did anyone really go to the moon?,Did astronomers really visit moon?,1
4922,How can I cure vitiligo?,I have vitiligo. Is there any cure for it or is there a medication for it?,1
1668,How will work and jobs change over the next 10-20 years?,How will work and jobs change in the next 10-20 years?,1
3657,What existed before space and time?,What existed before the beginning of the time?,1
1992,"Why, or why not, should the minimum wage be raised to $15?",Should the minimum wage be raised to $15/hr for all American workers?,1
31,What are some special cares for someone with a nose that gets stuffy during the night?,How can I keep my nose from getting stuffy at night?,1
2546,"How can the drive from Edmonton to Auckland be described, and how do these cities' attractions compare to those in Regina?","How can the drive from Edmonton to Auckland be described, and how do these cities' attractions compare to those in Oshawa?",1
3019,How was your KVPY sa 2016?,What is the expected KVPY 2016 SA cut off?,1
4715,How do I make reading a habit?,How do I make a good habit of reading a book?,1
4604,What are the most beautiful and inexpensive countries to visit?,What are the cheapest and most beautiful places to visit in the world?,1
2480,"What is a ""Real Programmer""?","What is the definition of ""real programmer""?",1
4897,What medical condition is associated with a hard pea sized lump under my skin?,How can I treat a hard pea sized lump under my skin?,1
4966,How do you compare and contrast acids and bases?,How do you compare and contrast the properties of acids and bases?,1
819,What can be done to reduce the pollution of India?,What is the best way to reduce pollution in india?,1
4016,How is pressure an intensive property?,Why is pressure an intensive property?,1
2334,What is normalized score in gate exam?,What is normalized score in GATE?,1
2883,Is World War III coming?,Do you think we are on the verge of World War III?,1
798,What should I do if someone has posted a porn video under my name?,What should I do if someone has posted porn video under my name?,1
4630,What is illuminati? What does it do?,Who or what are the Illuminati?,1
4273,What do teachers think of students who are models?,What do teachers think of students?,1
658,How do I get off Quora?,How do get out of Quora?,1
3743,Is Shell gas good? Why or why not?,Why is Shell gas better?,1
2667,How do you control your anger?,How do I control my emotions and anger?,1
688,Which are the best movies of 2016?,What is your best 2016 movie?,1
1409,Would Donald Trump be the worst president in US history?,Is Donald trump going to be the worst president?,1
412,"Is Donald Trump taking cocaine, as Howard Dean suggests?",Are there any strong indications that Donald Trump does cocaine?,1
3501,How will Trump’s presidency affect international students in the US?,How might Trump affect the status of foreign students at top universities in the US?,1
188,Is it possible to pursue many different things in life?,How do I refuse to chose between different things to do in my life?,1
3913,How are international students from Hong Kong going to be affected after Donald Trump becomes president?,Will foreign students studying in the USA be unwelcomed after Donald Trump is elected as president?,1
3325,What is the best way to outline your novel?,What is the best way to outline a novel/story for a novice writer?,1
3540,What are your 5 favorite poems?,What's your favorite poem?,1
2792,What is the best way to learn astronomy?,How can I learn astronomy?,1
1471,What happens to a question on Quora if it is marked as needing further improvement?,"How can I ask Quora a question about something that was marked ""needs improvement?""?",1
4219,What are the prerequisites for starting a business?,What are the prerequisite to start business?,1
4426,I am interested in a fashion designing programme. Which are the best institutes in Pune?,Which is the best institute for lern fashion designing in Pune which will give me scope to my skill while I am woking?,1
2203,How can I start my startup?,What's the best way to start a startup?,1
122,What mineral holds the highest electrical charge?,What mineral can hold the greatest electrical charge?,1
3268,How is the word 'ubiquitous' used in a sentence?,"How is the word ""ubiquitous"" used in a sentence?",1
321,How will Indian GDP be affected from banning 500 and 1000 rupees notes?,What will be the implications of banning 500 and 1000 rupees currency notes on Indian economy?,1
1416,How do I get rid of mosquitoes bites quickly?,How do I get rid of mosquito bite marks?,1
3307,How do you trace your roots?,How can you trace your roots?,1
1607,Which wood glue would be best for repairing a cricket bat?,Which glue is best for repairing a cricket bat?,1
2512,What are the prominent features of usability that your organization considers while purchasing the ERP system?,What are the prominent features of usability that your organisation considers while purchasing the ERP system?,1
163,How do I use Twitter as a business source?,How can I use Twitter for business?,1
2614,Are Hillary Clinton supporters worried that she's a war hawk?,Is Hillary Clinton Pro-War?,1
848,What is the IELTS all about?,What is IELTS and its use?,1
4775,What can we do for hair loss?,What's the best treatment for hair loss?,1
3482,Which is the best online website for learning guitar?,Which is the best online site for learning to play the guitar?,1
4068,How do you calculate the height of the mountains?,How do they measure the height of a mountain?,1
4491,How do I stop feeling guilty for no reason?,How should I stop feeling guilty?,1
4239,Which are the top civil services coaching institutions in India?,Which are the best civil services coaching institutes in India?,1
2849,How good is Elon Musk in engineering and technologies?,Is Elon Musk a good engineer?,1
4027,How should I prepare for GATE?,What are some tips to prepare for the GATE?,1
3579,What workout clothes did guys wear in the year 1990?,What workout clothes did guys wear in the summer back in the year 1990?,1
1269,How can we hack Wifi Passowrds?,How do I can hack wifi?,1
3771,How do I sleep less but not feel tired?,How does one sleep Less but not feel tired?,1
4667,What does Dying Light season pass come with?,What is the Dying Light season pass?,1
647,How do I make money with YouTube?,How do I make money through YouTube?,1
3898,How may I contribute to the world of open source?,How do I get involved in open source?,1
4885,How do I make friends once and for all?,How can you make a friend?,1
1013,Do you think of mathematics as art or science?,Is math an art or a science?,1
2886,How can I increase traffic to my website using social media?,How can I Increase the traffic of my blog?,1
