id,question1,question2,is_duplicate
2980,Why is sexual intercourse Restricted by age? Is it harmful?,Is the age of consent logical in spite of psychological and other scientific research regarding attraction and human sexual behavior?,0
4350,"How do I kill a small animal with toothpaste and jam?(Just a thought I happened to have, I dont plan on killing any animals nor do i want to)","I thought PETA was good, but I have people telling me that they kill animals and are not the charity I thought they were. What is happening?",0
4906,"Do you believe in the theory of ""Ancient Aliens""?",Why do people believe in the ancient aliens theory?,0
2332,"Which is the best RO water purifier in Ahmedabad?
",What is the best water purifier available in India?,0
3597,"Is there a country in this world that doesn't have a national anthem or national song? If so, which ones?",What are the best national anthems?,0
1908,"Is ""taking an exam"" or ""giving an exam"" correct for a student?","Do you write, take or give an exam?",0
4480,How do I delete account?,How can you delete your Chnlove account?,0
4067,What are the advantages of being left handed? Am I lucky?,What are the advantages of being a left handed?,0
4405,What if I do these in the IELTS speaking test?,What does it feel like to be an IELTS speaking test examiner?,0
108,How competitive is the hiring process at Republic Bank?,How competitive is the hiring process at S & T Bank?,0
1025,What goes through a guy's mind when he touches his girlfriend's ass?,Why does a man raise his hand at his wife/girlfriend? What goes through his mind?,0
3284,How is the Mass communication department at Ashoka University?,Which one would be better for me to study in a university; mass communication or pharmacy?,0
132,How do I register my domain site email?,How do you register a .an domain?,0
1844,How much time does a waiter spend in taking orders?,How do you get over a divorce and not being able to spend as much time with your children?,0
1731,How do I make oxalic acid water soluble?,How can we make water soluble polymers?,0
3312,What is the all-time record for most sins in a CinemaSins video?,What is the most viewed videos India?,0
3350,What is research objective?,What is subjectivity and objectivity in research?,0
1521,Why are the Seven Wonders of the World referred to as Wonders?,What are the Seven Wonders of the World?,0
4676,Why are fruits so expensive in Japan?,What is Japan really like?,0
1253,Were India and China part of Turkey at any point of time in world history?,Who were the most powerful countries in the world at different points in history?,0
4327,Is the Philippines an Asian or a Western country?,Is the Philippines a Christian country or is it only officially Catholic? Is the Philippines more Western than other Asian countries?,0
3315,In what way do moles cause cancer?,Do moles cause cancer?,0
2819,Is there a cure for cancer?,Why is the cure for cancer so elusive?,0
4731,How do I calculate the diameter of a solid shaft at max torque?,Find the max permissible torque of a solid circular bar?,0
847,How do you prove the Heisenberg uncertainty principle experimentally?,What's the easiest way to prove the Heisenberg uncertainty principle?,0
4618,"What's more important, knowledge or imagination --- and why?",What is more important: imagination or knowledge?,0
2083,"I am a seventeen-year-old male and my height is 5'6"". Can I reach 5'8"" or 5'9""?","I am 16 years old and my height is 5'6"" can I gow to 5'9""?",0
4320,Is there anything in particular I should pay attention to when moving a CPU from one motherboard to another?,"What are the skills a good CA should possess, apart from academics, articleship and communication skills?",0
1034,"How did Man Bai, Jahangir's wife die?",How did T.I.'s daughter die? When did it happen?,0
614,What are some good sources for learning NuGet?,What is a good source to learn mathematica?,0
3782,What's the difference between opium and heroin?,What does it feel like to eat opium? How does it affect you physically?,0
3866,Is it normal to not cry after hearing your best friend tell you that he’s going to die before graduation?,"My boyfriend randomly leaves to go on car rides. Once, we came back from buying burgers, when he dropped me off at our place, and said he'd be right back. He wasn't home until 2 hrs later, saying he just needed time to clear his head. How do I deal with this random need for alone time?",0
222,How can I find job in Japan?,How can I find an IT job in Japan?,0
4657,Where does the count of 330 million Hindu Gods come from?,How was the life in Satya Yuga?,0
319,Why should I learn web design?,How can I learn about web design?,0
4835,What are current rush hour traffic patterns like in the San Francisco Bay Area?,Where should I move to from the San Francisco Bay Area?,0
589,What is the future for iOS Developers?,"As of 2015, what is the future of iOS development?",0
1716,What are the arguments in favour of/against Jallikattu? What is your personal opinion about it and the way it is being handled by the Centre and SC?,What are some of the best atheistic arguments?,0
3392,What is the spin quantum number and what is its value?,What is spin multiplicity in quantum numbers?,0
252,Is knee pain in a 20 year old girl normal?,Is it normal for a 14 year old girl to be spitting up blood?,0
1027,What food should I eat to gain weight?,How could I gain weight in a healthy way?,0
3338,Is there a working Nintendo 3DS emulator for PC or Android?,Would R4 cards work on a Nintendo 3DS XL?,0
708,What is the best site for downloading Kannada films in torrent form?,What's a good torrent site to download games from?,0
283,When travelling to a new region is it better to immerse yourself in 1–2 cities or to see as many cities as you can cram in?,What are the ways to explore world without spending more money?,0
2838,How do they make smokes?,"How do you make an ""O"" smoke ring?",0
2519,How common is it for a woman to like anal sex?,How common is anal sex?,0
2044,"What will happen if I turn off my computer when it says ""getting Windows ready don't turn off your computer""?","In a mobile phone, there is a scheduled power on and off, but I couldn't find anything that can turn the computer on. The programs can only shut the computer off, not power it on. How can I start my PC on the time I want?",0
965,Is YouTube Red's offline feature as good as downloading the video itself?,Is it possible to still have a decent credit rating after chapter 7?,0
2242,What kind of underwear should guys wear for gymming?,What kind of underwear should a guy wear?,0
28,What is best way to make money online?,What is best way to ask for money online?,0
3069,What supplements can help me build muscle and burn fat?,What is a good way to burn fat while building muscle?,0
4674,What are the flash point and fire point of diesel?,What is flash point?,0
3514,What does it mean if you think about someone everyday?,What does it mean to think the world of someone?,0
99,Why is the number for Skype at 1-855-425-3768 always busy?,How could I get Skype to work on an android 4.1.1 phone?,0
3620,"If you had a box of chocolates containing 5 grams of every known element, how many could you eat before dying and what would be the cause of death?","If I went to space and had an empty box/container and went outside to fill that box with space, what would be inside the box?",0
3008,[SPOILER] How big of a shock was it that Darth Vader was Luke's father when it was first revealed?,Star Wars Movies: Does Princess Leia ever learn that Darth Vader is her father?,0
1832,What's the difference between a floor area and a lot area?,What is minimum floor area? Why is minimum floor area a statutory requirement?,0
3186,What should I do if I haven't had my periods for almost four months now?,What can cause a woman's period to be late?,0
3474,"What are the differences between sheep, lamb, goat, ram and mutton?",Why is lamb more popular than mutton in the UK when it is clearly the inferior meat? If it's to do with cost-effectiveness how come other countries don't suffer the same problem?,0
677,"If both the parents have blood group B+, can the child have A+?",If both my parents have blood group B+ can I be A+?,0
440,What does the 10/6 label on the Mad Hatter's hat mean?,How do you find a figure labeled this way in a textbook?,0
1067,Trading opportunities in srilanka?,What should I do to finding a job in finance field?,0
2750,Does freedom of speech extend to shouting?,"Freedom of Speech: What would be the consequences if a group of people publicly shouts slogans like ""Death to America"" or ""Hail Osama bin Laden"" on American soil?",0
1772,"What is the difference between evga gtx 1080, asus gtx 1080, msi gtx 1080?",Why should my dad spend all his salary for my sister in law and her kid?,0
2832,Why do people believe in God?,Why do people believe in god when the level of proof is so low?,0
1902,Did dunno create the universe?,"Considering the 'Zone of Avoidance', and the fact that the Earth in on the same plane as most of the Galaxy, how do we know the size and shape of it?",0
3017,How do I buy a good bansuri (bamboo flute) for beginners in flute learning?,Which bansuri should I buy as a beginner?,0
4519,What if I am boring?,What should I do if I am bored in my marriage?,0
3753,What conditions cause you to refrain from filling out online registration forms at sites?,Why do patients have to fill out the registration forms when they don't know how to answer the questions?,0
1072,What would be the ideal Bruce Springsteen set list? Assume it has 20 songs including the encore.,Bruce Springsteen (musician): Who is the chicken man in philly?,0
1833,Many women told me that they prefer guy friends over girl friends. What are the common reasons for this?,"I am a girl. My best friend (a guy) and me are emotionally attached. I do not love him, but I get jealous when he prioritizes his crush over me. What am I going through?",0
1900,Is it harmful to eat using plastic utensils?,Is it bad to eat sunflower seed shells?,0
749,"If a Canadian gets a tattoo in America, do they have to declare the cost when returning to Canada?",I'm a Canadian PR that just finished studying in the US. I got offered an H1-B. Should I take the offer or return to Canada?,0
362,How do I find the zeros of the polynomial function [math]f(x)=\dfrac{1}{2}x^{3}-3x[/math]?,How would you find the zero of the function for [math]y=\frac{4x^2 - 36x}{ x-9}[/math]?,0
248,"What is the best way to invest $500 legally so that I can get tangible profits over a relatively short period of time, say 6 months?",How can I best invest ₹5000 over the next 6 months?,0
4605,"Is the term ""transbian"" offensive?",What do you find offensive?,0
4120,"What is the meaning of the Confucius quote ""the Superior Man understands what is right, the Inferior Man understands what will sell""?","What does Sartre's ""Man is condemned to be free"" mean?",0
3986,How do you give yourself a Brazilian wax?,How much do Brazilian Waxes hurt? Is it worth it?,0
4527,What are the good things done by the British to India and Indians during the British Raj?,Was British rule in India benevolent?,0
712,What behavioral adaptations do pandas have?,What behavioral adaptations do red pandas have?,0
4045,How do you multiply three matrices?,How do you multiply matrices?,0
2948,What is the set up and hold time violations in VLSI?,How is the job market of the VLSI industry in 2016? Is it up-growing or shrinking?,0
1037,"What hotel in Shimla Hill-station would be safe for unmarried couples, without the harassment of police, hotel staff, and moral police?","What hotel in Dehradun Hill-station would be safe for unmarried couples, without the harassment of police, hotel staff, and moral police?",0
4518,What are good ways to learn efficiently on the Internet?,How do I learn C# efficiently?,0
1725,How are the placements of chemical engineering at NIT Raipur?,How is NIT Raipur for chemical engineering?,0
4594,Why does biodiesel produce less amount of CO2?,Why does biodiesel do not produce CO2?,0
8,When do you use シ instead of し?,"When do you use ""&"" instead of ""and""?",0
2134,What are the different types of communication media and what are some examples?,What are the different types of communication?,0
3438,What should my friend and I do on Saturday if we are bored?,What should I do when I'm bored?,0
2300,Is Sathyabama a good university?,What is Victoria University good at?,0
3679,Who will be the future captain of the Indian Cricket Team after MSD?,Do you think MS Dhoni is the best captain?,0
1510,"If 204=8, 503=13, 305=11 and 907=25, what is 705?",Why can I not multiply fractions in Python?,0
416,Why is sandeep maheshwari not on Quora?,Who is Sandeep Maheshwari?,0
3187,How can Jammu & Kashmir issue be resolved?,What is the best political solution to the Kashmir conflict?,0
1572,How much excercise to lower blood pressure?,What are fast ways to lower blood pressure?,0
3047,How did you realize you wanted to be an architect?,Who are the best architects in the world?,0
4358,Did anyone ever said anything to piss off 2pac on camera like the N Word?,"Has anyone ever responded violently to one of the ""punked"" or ""candid camera"" type staged shows?",0
2162,How do I heat up my laptop?,Why does my food heat up unevenly in the microwave?,0
1434,"What is the difference between an UberX, Uber Black and Uber Taxi?",How does Uber compare to taxis in New York City?,0
2474,What kind of heat sink do I need on my motherboard?,What kind of hardware is needed to install Mac?,0
4295,How can I get famous on Instagram anonymously?,How do I get famous on Instagram?,0
3090,"I have an intracluster correlation matrix, symmetric matrix capturing correlation between clusters (based on k means). What is a nice way to represent these clusters graphically using this matrix and the post intra-cluster correlation of each variable?","How can we choose a ""good"" K for K-means clustering?",0
4112,Am I just causing a problem with my girlfriend for no reason?,I'm feeling very alone because I just had a breakup with my girlfriend. I'm not getting out of it. How can I overcome this situation?,0
4978,I am a B.Sc Computer science student studying at Loyola Chennai. I am concerned about the acceptance/fee structure in top European universities?,Is a 0.59 hip to waist ratio normal?,0
3037,How do I get cash off a credit card without the card?,How do you get cash back from a credit card?,0
3566,What does it feel like to live in a high-rise building with floor to ceiling windows that go from wall to wall?,Who owns the high rise buildings in newyork? how to invest money into high rise buildings?,0
4693,Why don't nuclear submarines use aft torpedoes? And why do most US subs only have four tubes?,Why do Typhoon-class submarines have swimming pools inside? Isn't that a waste of space that could be used to store more food?,0
3233,What are the pre-requisites for scikit-learn?,What do you think are the biggest flaws of the scikit-learn API?,0
1542,What kind of phone does Linus Sebastian from linustechtips use?,I've been using my phone too much lately. I feel like I have aquired ADHD from using my phone too much. What do I do?,0
2888,Is there a tendency to gravitate toward conspiracy theories on RT News?,"Is there a currently evolving tendency towards nasty, trashy behavior in sports?",0
3144,What do you make of this Game of Thrones theory?,How can I order goods from U.S.A and where do I find them in bulks…for example something like Alibaba?,0
77,How do I log out of my Gmail account on my friend's phone?,How can I know who logged in to my Gmail account? (by telling his IP address or device name)?,0
3337,How much amount to fill in amount of transaction column of form 60/61?,How much money will amount to rupees 560 in 3 years at 4% per annum.?,0
2387,Are shoe purchases subject to sales tax in New Jersey?,Where can I live in new jersey?,0
4461,What should I answer when asked desired career level?,What are the salary ranges of each level in Google's technical career track?,0
1194,Is it worth it to work as an application support engineer intern at Microsoft?,What is the salary for a Software Engineering Intern at Microsoft in 2014?,0
1468,Is Pakistan the worst democracy in the world?,What is Democracy? What kind of Democracy is existing in Pakistan?,0
276,How far would you go for love? Should I wait for the one I love ir move on?,"As a thirteen year old, what is the best thing I can do for my health?",0
1096,How do you draw an angel step-by-step?,How do you draw a cat step-by-step?,0
3413,How do I find max/min in arrays using recursion in C?,Should I use C++ vector or C array?,0
3011,"What are some good and cheap lodges in Paharganj, Delhi? Are there any good lodging options around Pragati, Maidan?",What are some good Delhi Metro travel hacks?,0
3070,Is the lift on ban of Jallikattu (Tamil Nadu's bull taming sport) justified?,What's so special about tamil nadu alanganallur jallikattu?,0
1222,"Why are black women not regarded as attractive as Asian or Latin women, even though they are more represented in the media?",Do white women find Asian men attractive?,0
4417,How do you post a question on Quora?,How do I clarify a question in Quora?,0
4703,What is the name of a movie in which the lead actor has a habit of writing the name of every woman he makes love with in his copybook during sex?,What is the name of the lead actor in movie Miss teacher 2015?,0
4427,Which mutant from the Marvel Universe would be able to infiltrate Area 51 and get out of said place alive?,What are some of the best online materials to learn advanced Java?,0
3643,Can mechatronics engineer work in Marine engineering?,What is the difference between mechatronics engineering and control engineering?,0
3666,How can I prepare for UPSC?,How can I prepare for UPSC CSE?,0
3590,"What is the architecture, context, and identity of Chaura Rasta, Jaipur?",What is pan-Chinese identity?,0
4246,Why am I not losing any weight even though I work out 5-6 times a week 40+ minutes each time?,I am a 63 kg (138 lbs) skinny guy with a height of 5'8'' (172 cm). I am on a diet of four boiled eggs a day with ample amount of groundnuts & chickpeas. I workout 1 to 1.5 hours in the gym.  How frequently should I work out each week?,0
4413,"External conflict is best described as, what?",What would fighting a war against the US military be like at the individual and/or unit level in any environment? Are there former enemy soldiers from previous US conflicts on Quora? What best describes this experience?,0
4689,How can I learn good English speaking?,How can I become fluent in English?,0
1700,"Can news sites see that I subscribe to their feeds via Feedly? What info do they see? (e-mail address, name, etc).","Why is Quora not having a ""See First"" feature, so that users can choose what fills up their Quora feed?",0
3786,Why did refugees die while crossing the Mediterranean sea?,Why were there 3 security officers on the EgyptAir 804 plane which crashed in the Mediterranean Sea?,0
2725,What's it like to be stuck in a never-ending existential crises?,I am doing CA course and wanted to do a bachelors dergree in correspondence so should I go ahead with Bcom or BA Eco as I have completed my IPCC exam?,0
2089,"If I give IIM A B and C 5 stars each, how do you rate L I and K?","How does it feel to be at IIM-A, B, C, I, K, L?",0
1976,What are the best resources when applying for a music graduate degree?,What are the best resources when applying for a history graduate degree?,0
4088,Why can't I like someone's picture on Instagram?,How do you save instagram pics?,0
297,Why did the puppet they used for Yoda in Episode I suck so bad?,"Why do people not question ""news"" posts and opinions posted on social media websites?",0
2493,How do I get bokeh effect on 50mm f1.8 when the sweet spot is f5.6?,"Which Canon lenses should I buy, a 50mm f/1.8 or a 24mm f/2.8?",0
4644,Is it possible to change your personality as a child?,Is it possible to completely change your personality by will?,0
914,What disadvantages do Apple computers/laptops have over other brands?,Why do so many people in the US have an Apple-branded phone or laptop?,0
4439,How can I make an array with variable size in the C language?,"In C/C++ language, Why is there a * sign before a variable, what does it do?",0
575,How do I start a solar energy business in egypt?,How do I start solar energy business?,0
174,How do I switch from Apple Music to Spotify?,Should I switch from Spotify to Apple Music?,0
2410,How do I deal with my manager?,How did you deal with the manager you hated?,0
4184,What was the number of irrigation pumpsets sold in India during 2015-16?,How root mean square speed related to measure average kinetic energy and why?,0
2523,How can I prepare for UGC net chemistry?,How do I prepare for UGC NET (economics)?,0
1750,"What is the penalty for driving without a license in Alabama, how do they compare to the penalties in Massachusetts?","What is the penalty for driving without a license in Alabama, how do they compare to the penalties in Maine?",0
3343,Should a machine learning beginner go straight for deep learning?,Why is deep learning so important in machine learning?,0
883,What is the hardest thing(s) about raising children in Ukraine?,What is the hardest thing(s) about raising children in Mexico?,0
1880,"What kind of economy does Switzerland have, and how is Norway's different?","What kind of economy does Switzerland have, and how is Belgium's different?",0
3943,How can I give continuity my hard work to let my passions and interests be proven and seen in reality?,It seems to me that after 7 years of hard work it has destroyed my life without any gains. Should I give up on my dream?,0
3772,Where should I promote my blog?,Can I promote my blog here?,0
1447,"When you time travel, do you alter the time for all of universe or just the spot were you are?",How did you feel when you travelled in an airplane for the first time?,0
4631,I want to Start (PET) Polyethylene terephthalate Recycling Industry.Out put is Fiber for this I need Domestic Buyers list can Anyone help me?,Why am I so tired at 14 weeks pregnant?,0
3401,What kind of organisation was the SS?,What is the ss?,0
2000,How do I break security code in Nokia 103?,How do I break security code in Nokia C1?,0
2462,How can i make money online easily?,How do I quickly and easily make money online with available investment?,0
4968,How do I study a lot?,How do study a lot in a week?,0
3232,Is it right for a gay Christian to think that gay love is okay but gay sex is unacceptable?,"What is it like to have gay sex, if you're not actually gay or bisexual?",0
4188,Where can I get best domestic and commercial window cleaning service in Sydney?,Where can I find a commercial cleaning service in Sydney?,0
3690,What is the starting salary of a sound engineer in india?,What is the basic starting salary of an engineer in Telecom Domain in India?,0
3907,How do I earn money online in Iraq?,What is the best way to earn money online?,0
2075,What should I do if I have a splinter in my foot and can't remove it myself?,Is it okay to leave a splinter where it is if you can't remove it?,0
1300,How safe is it to use your real name on the internet?,How safe is it to have your real name on the Internet?,0
4908,Which is a suitable inpatient drug and alcohol rehab center near Johnson County IN?,Which is a suitable inpatient drug and alcohol rehab center near Johnson County GA?,0
1486,I had send my resume below.?,"In a company, whom should I send my resume to?",0
3294,What is the typical starting salary for someone with an undergraduate degree in theology?,What is the typical starting salary for someone with an undergraduate degree in sociology?,0
3303,Want to know about Payoda (s/w company)?,Whaat is xnxx?,0
3561,"I changed my name, but the person did a mistake. My new name is what I wanted but my old one in the form is incorrect. So is my name changed or not?","In the U.S., is it okay for me to tell my Chinese coworker that lip-smicker-smackering and slurping are considered rude?",0
4382,I have done BE in IT. Which course is beneficial-SAP ABAP or PG diploma in business analytics?,"I stopped singing for 10 days, when I sang I got to sing up to C#5, and after 2 days I got back to only hitting A#4, how could I get these notes back?",0
2550,Is milk vegetarian or non vegetarian?,Are eggs and milk considered vegetarian or non-vegetarian food?,0
1721,What is the average salary of workers in Indonesia with a graduate degree?,What is the average salary of a IIM Calcutta graduate?,0
4586,What do you want to know about wickless candles?,What is the difference between opportunity and project in Microsoft dynamics?,0
4758,What are the most annoying types of highly upvoted answers on Quora?,What are some of your highly upvoted answers on Quora?,0
3383,How useful is it to learn programming on codecademy?,How can I use Codecademy to learn programming?,0
3114,What is the salary of highest paid government job in India?,Who is the highest paid teacher in India? Why?,0
4755,What does it mean by world and world coordinate in computer graphics?,What is Type checking?,0
2505,How do you sync your iPod to iTunes?,How do you connect to iTunes on your iPod?,0
2114,How much money do the Alaskan Bush People make on TV?,How much money do Uber drivers make?,0
427,"How can the drive from Brooklyn to Staten Island be described, and how do these cities' tourist attractions compare to those in Queens?","How can the drive from Brooklyn to Staten Island be described, and how do these cities' tourist attractions compare to other tourist attractions?",0
1099,My CRS score is 469. What are my chances of getting Canada PR?,I am planning to apply for Canada PR. What are my chances?,0
3004,Which is the best commerce college in Mangalore?,Which is the best commerce college in Kolkata?,0
1019,What are Plan A and Plan B in Interstellar?,"When Voldemort is resurrected in Book 4, he was saying to the Death Eaters that his most loyal servant is doing his job at Hogwarts. To whom was he referring: Severus Snape or Barty Crouch Jr., as Mad-Eye?",0
3099,What are key exceptions to doctor-patient confidentiality?,Are doctors ever hesitant to heal a patient?,0
2768,Do people that have been guillotined stay conscious for a second or is the shock to much?,Did the guillotine cause instant death as the head fell in the basket?,0
2352,What are the sensors available in Acer Liquid Z630S Android Smart phone by using CPU-Z App?,What are the five apps on your smart phone that you use most often?,0
4151,Why did I get a belly fat?,Why are some good jokes on Modi?,0
4941,"Can we start a sentence with"" as well as""?","Can you start a sentence with ""it""?",0
3682,"What psychoanalytic ideas are used in advertising, marketing and communications today?",Are subliminal messages really used in advertising today?,0
2669,Game of Thrones Season 6 Episode 4: What did the High Sparrow tell Tommen in secret that he repeated to Cersei?,In season 6 episode 7 of GOT can someone tell me why people think what Tommen did was bad?,0
1859,How can a transgender lesbian who hasn't had genital surgery find a mate?,"How would you, a transgender person, respond to someone who does not believe you are transgender?",0
164,How can I transfer money from Skrill to a PayPal account?,How can I send money from my PayPal account to my Skrill account to withdraw?,0
75,If I fire a bullet backward from an aircraft going faster than the bullet; will the bullet be going backwards?,"Do bullets travel faster than the speed of sound when shot from a gun? If not, is it possible? If they do, what gun and how much devastation occurs?",0
1812,How do I prepare for MBA CET 2017 starting from November?,Can I get CSE at IITB 2017 by starting preparation from June 2015?,0
44,What universities does Rexnord recruit new grads from? What majors are they looking for?,What universities does B&G Foods recruit new grads from? What majors are they looking for?,0
730,Is there a different price over the Internet than in person when trying to book a room in Mexico City from the US?,Why is Mexico City dangerous?,0
3043,What are some of the must listen carnatic songs on flute?,What are some of the must-listen Carnatic Songs?,0
2337,What are some interesting research areas in electrical engineering?,What are the top research fields in electrical engineering?,0
2248,Why do you think IFS is better than IAS for the long term?,Why should one choose IPS over IAS?,0
2942,What were the causes and effects of WW1?,What's the cause of ww1?,0
1301,I own a personal website/blog. If I get decent traffic I want to make few bucks via ads. Does the law allow me to do this while being on H1B visa?,My brother in law going to start a shop in NY. Can he apply for me as a worker of his shop to get H1b visa?,0
2227,Can we kill a black hole?,Can a black hole be destroyed?,0
1205,"Which processor is faster and better for battery between Octa core, 1.7 GHz, Cortex A53, Chipset: Mediatek MT6752 and Quad core, 1.4 GHz, Cortex A53, Chipset: Qualcomm Snapdragon 410 MSM8916?",Which one is a better processor: 1.8 GHz Intel quad core or a 1.7 GHz Snapdragon Octacor?,0
2571,What are the interview questions asked for the post of lecturer in Medicine?,What are some interesting questions asked in an interview?,0
4699,Who are some lesser known important historical figures of Montenegro and what should people know about them?,Who are some lesser known important historical figures of Iceland and what should people know about them?,0
148,How much would it cost to hire Jerry Seinfeld for 1-2 hours?,How much on average would it cost to video tape a 2 hour presentation?,0
3948,What makes women want to have sex with a man?,What is most sexually arousing to a woman?,0
2197,What would be the voltage regulation if there is capaciyicve load?,What does it mean if a website is hosted on a load balanced web server and that sticky sessions would have to be enabled on the load balancers and that session checks would have to be done on page loads?,0
1661,Why does Quora moderation delete questions about Quora moderation?,What kind of questions get deleted on Quora?,0
867,How can constipation cause dizziness?,Can constipation cause dizziness?,0
392,What is the different between offshore and onshore funds?,What is the difference between offshore and onshore?,0
1336,Why is the spine is seen as the axis of the universe in spirituality? How do you get mastery over the spine?,How can you treat pain in the middle of your spine?,0
1334,What would Cersei do if Jon became king?,What would Melisandre do if Jon became king?,0
3951,What percentage of people who have gender reassignment surgery live to regret it?,How does sexual reassignment surgery work?,0
3411,How much money do average earning shopaholics spend on clothes and accessories?,"In a year, how much money does a movie buff spend on average to watch movies in a cinema hall? How does he avoid bad films?",0
2155,"Data Recovery: I've lost all my contacts on my iPhone, however they are all there in iCloud. How can I get them back onto my iPhone?",How do I recover the lost contacts from an iPhone 6?,0
3391,What are the products formed when acetone reacts with concentrated nitric acid?,What products are formed when an acid and a base react?,0
1408,Why did Infosys reject a mass number of candidates from the 2014 passed out batches?,When is the next batch of Infosys after 9 Jan 2016?,0
999,What is a good song for lyric prank?,Diving the Blue Hole in Dahab?,0
3414,In what part of the film Furious 7 did the tragic accident happen to Paul Walker?,How difficult was it to continue acting a movie with another person to body doubles your friend who suddenly died like Paul Walker in Furious 7?,0
324,What it is like to be cheated upon in a relationship?,What is it like to be in a relationship with someone you cheated with?,0
4761,Are foxes more closely related to dogs or cats?,What is the cutest thing your pet has ever done?,0
4710,Should Shashi Tharoor be the face of Congress?,Why did Shashi Tharoor join the Congress?,0
4934,What is diabetics?,What is diabetes?,0
1581,How do I learn to ride a bike as an adult?,How do I ride a bicycle?,0
2557,What are Bank of America's routing numbers used for?,What is Bank of America's routing number?,0
3535,Why does my phone hang up itself?,How can I speed up my records on my phone?,0
4619,How do I exit out of Quora?,How do I delete my Quora account?,0
2961,Is competitive coding practice essential for placement in IT firms?,"What is the use of the rank you get in CodeChef, HackerRank or TopCoder? Is it of any use during placement, will it get me a job or internship in a good company?",0
1788,Which online coaching institute is best for CAT Preparation?,Is online coaching better than going for institutes like TIME and PT Education for CAT preparation?,0
970,"Considering your position as Secretary of State gave you insight into the US's drone program, what will you do to reform the targeting process?",What was your biggest challenge as Secretary of State?,0
4078,Why were Russia's casualties so disproportionately high during World War II?,Why were Soviet casualties so high even late war?,0
1046,Is it theoretically possible to travel a light year in under one year due to length contraction and other relativistic effects?,How strong does the gravity has to be in a dying star to make atoms dissapear?,0
4498,Score word features?,"How does ""Free"" Translate to Latin?",0
1495,"How do I set and unset a cookie using jQuery, for example create a cookie named 'someName' and set its value to 'someValue'?","I created a custom error handler for php and set it to be my error handler but I still get fatal errors displayed, how do I stop it?",0
572,What are the non-invasive blood glucose monitoring systems abroad?,What are the non-invasive blood glucose monitoring systems in India?,0
4820,What is the definition of notorious service?,Who was the most notorious sniper in all of history?,0
1753,What makes someone fall in love with you?,Can you make someone fall in love with you?,0
1032,What is the probability of an event certain to occur?,Is it true that the probability of an event occurring ALWAYS is zero?,0
1508,How can I Publish Theses on dentistry on International Library for thesis?,How can I Publish Theses on Education on International Library for thesis?,0
187,"What would happen if you cover one of your eyes with an eye patch for one year, then take the patch off?",What happens if eye medicine enters the eye?,0
